"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
104,1,3,"2018-09-04","2018-11-08",NULL,NULL,34,0
179,3,9,"2018-11-08",NULL,3,"A support prep workshop needs to be scheduled and the Audit needs to be re-scheduled with all parties ",34,1
34,0,9,"2018-07-10","2018-07-18",NULL,NULL,35,0
35,0,9,"2018-07-18","2018-07-18",3,"DEMO",35,1
36,9,7,"2018-07-18",NULL,NULL,NULL,35,0
40,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
45,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
44,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
37,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
42,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
39,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
38,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
41,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
43,1,3,"2018-07-19","2018-07-19",NULL,NULL,36,0
47,4,5,"2018-07-19","2018-07-19",NULL,NULL,36,0
46,4,5,"2018-07-19","2018-07-19",NULL,NULL,36,0
49,4,5,"2018-07-19","2018-07-19",NULL,NULL,36,0
48,4,5,"2018-07-19","2018-07-19",NULL,NULL,36,0
50,6,8,"2018-07-19",NULL,NULL,NULL,36,0
57,1,3,"2018-08-09",NULL,NULL,NULL,38,0
84,1,3,"2018-08-29","2018-08-29",NULL,NULL,39,0
157,1,3,"2018-10-04","2018-10-04",NULL,NULL,39,0
156,1,3,"2018-10-04","2018-10-04",NULL,NULL,39,0
85,1,3,"2018-08-29","2018-10-04",NULL,NULL,39,0
83,1,3,"2018-08-29","2018-08-29",NULL,NULL,39,0
69,1,3,"2018-08-14","2018-08-29",NULL,NULL,39,0
68,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
67,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
66,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
65,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
64,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
63,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
62,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
61,1,3,"2018-08-14","2018-08-14",NULL,NULL,39,0
60,1,3,"2018-08-13","2018-08-14",NULL,NULL,39,0
59,1,3,"2018-08-13","2018-08-13",NULL,NULL,39,0
58,1,3,"2018-08-13","2018-08-13",NULL,NULL,39,0
158,4,5,"2018-10-04",NULL,NULL,NULL,39,0
70,1,3,"2018-08-16","2018-08-16",NULL,NULL,40,0
71,1,3,"2018-08-16","2018-08-16",NULL,NULL,40,0
173,1,3,"2018-10-30",NULL,NULL,NULL,40,0
72,1,3,"2018-08-16","2018-10-30",NULL,NULL,40,0
1199,4,5,"2020-05-27","2020-05-27",NULL,NULL,40,0
1200,5,6,"2020-05-27",NULL,NULL,NULL,40,0
78,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
73,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
81,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
82,1,3,"2018-08-27","2019-02-27",NULL,NULL,41,0
74,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
75,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
77,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
79,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
80,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
76,1,3,"2018-08-27","2018-08-27",NULL,NULL,41,0
302,3,4,"2019-02-27",NULL,NULL,NULL,41,0
86,0,1,"2018-08-29","2018-08-29",NULL,NULL,42,0
292,1,9,"2019-02-17","2019-02-17",3,"It was a test.",42,1
87,1,9,"2018-08-29","2018-08-29",NULL,NULL,42,0
88,1,9,"2018-08-29","2019-02-17",NULL,NULL,42,0
293,9,7,"2019-02-17",NULL,NULL,NULL,42,0
90,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
94,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
273,1,9,"2019-02-13","2019-02-13",3,"This service was added to reflect service delivered in the past. ",43,1
95,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
96,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
92,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
97,1,9,"2018-09-01","2019-02-13",NULL,NULL,43,0
93,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
91,1,9,"2018-09-01","2018-09-01",NULL,NULL,43,0
274,9,7,"2019-02-13",NULL,NULL,NULL,43,0
89,1,3,"2018-08-31","2019-03-06",NULL,NULL,44,0
322,3,4,"2019-03-06",NULL,NULL,NULL,44,0
1083,4,5,"2020-04-14","2020-04-14",NULL,NULL,44,0
1084,5,6,"2020-04-14",NULL,NULL,NULL,44,0
98,1,3,"2018-09-03","2018-09-29",NULL,NULL,45,0
145,4,5,"2018-09-29","2018-09-29",NULL,NULL,45,0
146,6,8,"2018-09-29",NULL,NULL,NULL,45,0
110,1,9,"2018-09-08","2018-09-08",2,"Duplicate entries",46,1
111,9,7,"2018-09-08",NULL,NULL,NULL,46,0
123,1,3,"2018-09-14","2018-10-09",NULL,NULL,47,0
114,1,3,"2018-09-08","2018-09-14",NULL,NULL,47,0
113,1,3,"2018-09-08","2018-09-08",NULL,NULL,47,0
160,1,3,"2018-10-09","2019-05-10",NULL,NULL,47,0
112,1,3,"2018-09-08","2018-09-08",NULL,NULL,47,0
413,4,6,"2019-05-10","2019-08-05",NULL,NULL,47,0
512,6,8,"2019-08-05",NULL,NULL,NULL,47,0
115,1,3,"2018-09-08","2018-09-11",NULL,NULL,48,0
121,1,3,"2018-09-11","2019-01-16",NULL,NULL,48,0
245,4,5,"2019-01-16","2019-01-30",NULL,NULL,48,0
255,6,8,"2019-01-30",NULL,NULL,NULL,48,0
116,1,3,"2018-09-10","2019-02-27",NULL,NULL,49,0
301,3,4,"2019-02-27",NULL,NULL,NULL,49,0
170,1,3,"2018-10-29","2018-10-29",NULL,NULL,50,0
171,1,3,"2018-10-29","2018-10-30",NULL,NULL,50,0
172,1,3,"2018-10-30","2018-11-27",NULL,NULL,50,0
168,1,3,"2018-10-29","2018-10-29",NULL,NULL,50,0
120,1,3,"2018-09-11","2018-09-11",NULL,NULL,50,0
118,1,3,"2018-09-11","2018-09-11",NULL,NULL,50,0
117,1,3,"2018-09-11","2018-09-11",NULL,NULL,50,0
169,1,3,"2018-10-29","2018-10-29",NULL,NULL,50,0
122,1,3,"2018-09-11","2018-10-29",NULL,NULL,50,0
119,1,3,"2018-09-11","2018-09-11",NULL,NULL,50,0
194,5,6,"2018-11-27","2018-11-27",NULL,NULL,50,0
197,5,6,"2018-11-27","2018-12-09",NULL,NULL,50,0
212,5,6,"2018-12-09",NULL,NULL,NULL,50,0
196,5,6,"2018-11-27","2018-11-27",NULL,NULL,50,0
195,5,6,"2018-11-27","2018-11-27",NULL,NULL,50,0
250,1,3,"2019-01-22","2019-10-11",NULL,NULL,51,0
611,4,6,"2019-10-11",NULL,NULL,NULL,51,0
219,1,3,"2018-12-11","2019-04-11",NULL,NULL,52,0
379,5,6,"2019-04-11","2019-09-25",NULL,NULL,52,0
565,6,8,"2019-09-25",NULL,NULL,NULL,52,0
252,1,3,"2019-01-29","2019-10-10",NULL,NULL,53,0
608,5,6,"2019-10-10",NULL,NULL,NULL,53,0
272,1,9,"2019-02-13","2019-04-01",1,"The person responsible for Communications and the one raised the request trough the office have left the NSO. We are following up with Scout Association of Panama if the request is still standing after the new recruitment. ",54,1
365,9,7,"2019-04-01",NULL,NULL,NULL,54,0
400,0,1,"2019-05-07","2019-10-11",NULL,NULL,55,0
618,1,4,"2019-10-11",NULL,NULL,NULL,55,0
127,0,1,"2018-09-20","2018-09-20",NULL,NULL,56,0
132,1,3,"2018-09-22","2018-09-26",NULL,NULL,56,0
128,1,3,"2018-09-20","2018-09-20",NULL,NULL,56,0
129,1,3,"2018-09-20","2018-09-22",NULL,NULL,56,0
133,1,3,"2018-09-26","2018-09-26",NULL,NULL,56,0
130,1,3,"2018-09-22","2018-09-22",NULL,NULL,56,0
134,1,3,"2018-09-26","2018-09-26",NULL,NULL,56,0
131,1,3,"2018-09-22","2018-09-22",NULL,NULL,56,0
135,4,5,"2018-09-26",NULL,NULL,NULL,56,0
335,1,4,"2019-03-13","2019-11-12",NULL,NULL,57,0
649,5,6,"2019-11-12",NULL,NULL,NULL,57,0
401,0,1,"2019-05-07","2019-10-11",NULL,NULL,58,0
617,1,4,"2019-10-11",NULL,NULL,NULL,58,0
1132,4,5,"2020-05-12",NULL,NULL,NULL,58,0
1133,5,5,"2020-05-12",NULL,NULL,NULL,58,0
162,0,9,"2018-10-22","2018-10-22",3,"TEST",59,1
159,0,9,"2018-10-08","2018-10-22",NULL,NULL,59,0
921,7,10,"2020-02-21",NULL,NULL,NULL,59,0
163,9,7,"2018-10-22",NULL,NULL,NULL,59,0
140,1,3,"2018-09-29","2018-09-29",NULL,NULL,61,0
139,1,3,"2018-09-29","2018-09-29",NULL,NULL,61,0
138,1,3,"2018-09-29","2018-09-29",NULL,NULL,61,0
143,4,5,"2018-09-29","2018-09-29",NULL,NULL,61,0
142,4,5,"2018-09-29","2018-09-29",NULL,NULL,61,0
141,4,5,"2018-09-29","2018-09-29",NULL,NULL,61,0
144,6,8,"2018-09-29",NULL,NULL,NULL,61,0
148,1,3,"2018-10-01","2018-10-01",NULL,NULL,62,0
151,1,3,"2018-10-01","2018-10-01",NULL,NULL,62,0
149,1,3,"2018-10-01","2018-10-01",NULL,NULL,62,0
150,1,3,"2018-10-01","2018-10-01",NULL,NULL,62,0
152,1,3,"2018-10-01","2018-10-24",NULL,NULL,62,0
147,1,3,"2018-10-01","2018-10-01",NULL,NULL,62,0
211,4,5,"2018-12-04","2019-03-05",NULL,NULL,62,0
164,4,5,"2018-10-24","2018-12-04",NULL,NULL,62,0
320,4,6,"2019-03-05","2019-03-05",NULL,NULL,62,0
321,6,8,"2019-03-05",NULL,NULL,NULL,62,0
154,1,3,"2018-10-04","2018-10-04",NULL,NULL,63,0
155,1,3,"2018-10-04","2018-11-15",NULL,NULL,63,0
153,1,3,"2018-10-04","2018-10-04",NULL,NULL,63,0
188,3,4,"2018-11-15","2020-06-15",NULL,NULL,63,0
